start in seconds	x	y	w	h	det_score	cluster_id	label
85	0.549219	0.206944	0.138542	0.337037	0.8447	0
85.5	0.258594	0.248611	0.163802	0.425926	0.8511	3
86	0.308854	0.238889	0.166146	0.425463	0.8955	3
86.5	0.322917	0.157407	0.106771	0.394444	0.8013	34
87	0.375781	0.155556	0.157812	0.397685	0.8955	3
87	0.116406	0.320833	0.136979	0.348148	0.8657	6
87.5	0.436198	0.212500	0.166406	0.412963	0.8438	3
87.5	0.288802	0.534259	0.188802	0.425000	0.6953	35
88	0.454427	0.252315	0.167187	0.406019	0.7695	3
88	0.211198	0.447222	0.113542	0.290278	0.7935	36
88.5	0.486198	0.160648	0.162760	0.395370	0.8589	3
88.5	0.104427	0.440278	0.154427	0.405556	0.8325	7
89	0.514323	0.266667	0.140365	0.327778	0.8438	0
89.5	0.514583	0.336574	0.138281	0.306944	0.8555	0
90	0.552083	0.250000	0.137240	0.320370	0.8955	0
90.5	0.615625	0.221759	0.136458	0.335185	0.8696	0
91	0.585938	0.225000	0.130469	0.335185	0.8418	0
91.5	0.354948	0.206481	0.165625	0.425000	0.7959	3
92	0.352865	0.215278	0.168229	0.438889	0.8394	3
92.5	0.348177	0.215741	0.166667	0.432407	0.8765	3
93	0.343490	0.222222	0.164583	0.425926	0.9072	3
93.5	0.341406	0.206019	0.163281	0.435185	0.8745	3
94	0.334115	0.229630	0.162500	0.426389	0.8916	3
94.5	0.337760	0.230556	0.162760	0.423611	0.9155	3
95	0.333854	0.246759	0.165885	0.417130	0.8677	3
95.5	0.335677	0.209259	0.163281	0.430093	0.8584	3
96	0.343229	0.242593	0.163542	0.421296	0.9033	3
96.5	0.338542	0.231944	0.160938	0.417593	0.9067	3
97	0.559896	0.216667	0.138281	0.324537	0.8540	0
97.5	0.557031	0.219907	0.140104	0.320833	0.8477	0
98	0.267448	0.207407	0.174740	0.468981	0.8926	3
98.5	0.346354	0.218981	0.180990	0.456019	0.8477	3
99	0.496875	0.279630	0.195052	0.452315	0.7480	3
99.5	0.709635	0.253704	0.136458	0.324074	0.8574	0
100	0.684635	0.247222	0.135937	0.317593	0.8701	0
100.5	0.642188	0.249074	0.136458	0.315278	0.8403	0
100.5	0.131510	0.185648	0.063281	0.218981	0.6514	37
101	0.614583	0.239352	0.135677	0.327778	0.8574	0
101.5	0.605729	0.234722	0.128125	0.331944	0.8213	0
102	0.600521	0.236574	0.125260	0.331019	0.7837	0
102.5	0.606510	0.231019	0.126042	0.333333	0.8091	0
103	0.607292	0.245833	0.124479	0.323148	0.8428	0
103.5	0.600781	0.243981	0.135677	0.317593	0.8755	0
104	0.610938	0.247222	0.138542	0.320833	0.8750	0
104.5	0.624219	0.253704	0.135937	0.320370	0.8770	0
105	0.660156	0.262037	0.138802	0.330556	0.8374	0
